,Country,Totalwithdrawal(km³/year),Per capitawithdrawal(m³/year),Domesticwithdrawal(%),Industrialwithdrawal(%),Agriculturalwithdrawal(%),Domesticwithdrawal,Industrialwithdrawal,Agriculturalwithdrawal
159,Lesotho,0.03,8.0,59.0,29.0,12.0,4.72,2.32,0.96
160,Gambia,0.03,7.0,80.0,16.0,4.0,5.6000000000000005,1.12,0.28
161,"Congo, Republic of the",0.02,50.0,74.0,1.0,25.0,37.0,0.5,12.5
162,Central African Republic,0.02,213.0,17.0,17.623456790123456,60.44444444444444,36.21,37.537962962962965,128.74666666666667
163,Malta,0.02,25.0,84.0,0.0,16.0,21.0,0.0,4.0
164,Dominica,0.02,39.0,7.0,2.0,91.0,2.7300000000000004,0.78,35.49
165,Djibouti,0.01,83.0,17.0,17.623456790123456,60.44444444444444,14.110000000000001,14.62746913580247,50.16888888888889
166,Cape Verde,0.01,81.0,17.0,17.623456790123456,60.44444444444444,13.770000000000001,14.275,48.96
167,Saint Vincent and the Grenadines,0.01,13.0,48.0,5.0,47.0,6.24,0.65,6.109999999999999
168,Saint Lucia,0.005,63.0,60.0,20.0,20.0,37.8,12.600000000000001,12.600000000000001
169,Antigua and Barbuda,0.003,9.0,98.0,2.0,0.0,8.82,0.18,0.0
